Ticker,Name,Sector,Price,Dividend Yield,1-Year Dividend Growth,5-Year Dividend Growth (Annualized),Dividends Per Share (TTM),Market Cap ($M),Trailing P/E Ratio,Payout Ratio,Beta,52-Week High,52-Week Low
A,Agilent Technologies Inc.,Healthcare,126.44,0.006377036,0.082474227,0.097309332,0.806312458,37978.29095,31.5172539,0.204647832,1.067641381,178.83,122.87
AA,Alcoa Corp,Basic Materials,87.77,0.002277427,,,0.199889777,16184.42358,37.72592909,0.088446804,1.156159275,98.09,30.89
AAC,Ares Acquisition Corporation,N/A,9.82,0,,,0,982,0,N/A,-0.002425374,10,9.66
AAL,American Airlines Group Inc,Industrials,19,0,,,0,12334.04222,N/A,0,1.687806324,26.04,12.44
AAME,Atlantic American Corp.,Financial Services,3.43,0.005830904,,,0.02,69.898516,0,N/A,,5.67,2.11
AAN,Aarons Company Inc (The),Industrials,21.38,0.01916457,,,0.409738516,662.316567,0,N/A,1.248993839,36.89,18.16
AAOI,Applied Optoelectronics Inc,Technology,3.03,0,,,0,83.349846,N/A,0,1.104975562,9.25,3
AAON,AAON Inc.,Industrials,51.98,0.007301644,,,0.379539461,2732.614538,46.50625511,0.348201341,0.872745302,83.79,51.18
AAP,Advance Auto Parts Inc,Consumer Cyclical,218.68,0.027437351,5,0.903653939,4.465218653,13359.41115,21.6835541,0.467562163,0.864223166,242.78,183.2
AAPL,Apple Inc,Technology,165.29,0.005323976,0.073170732,-0.189754876,0.878191422,2697440.403,26.82552238,0.145878974,1.256088622,182.71,121.73
AAT,American Assets Trust Inc,Real Estate,36.09,0.035466888,0.142857143,0.042402216,1.185589009,2184.305061,76.97720118,3.182789286,0.835366407,40.14,32.19
AAWW,Atlas Air Worldwide Holdings Inc.,Industrials,68.45,0,,,0,1986.986519,4.027808729,0,0.948411596,97.13,62.13
ABBV,Abbvie Inc,Healthcare,162.31,0.034748321,0.084615385,0.171137339,5.34444716,286685.706,24.99875358,0.828596459,0.347635362,174.43,102.35
ABC,Amerisource Bergen Corp.,Healthcare,161.21,0.011413684,0.045454545,0.047352789,1.790832938,33715.04493,20.8866386,0.232575706,0.459635125,166.9,110.17
ABCB,Ameris Bancorp,Financial Services,40.77,0.014648585,0,0.084471771,0.597222818,2840.726805,7.536823631,0.110596818,1.104599304,59.14,39.74
ABEO,Abeona Therapeutics Inc,Healthcare,0.2725,0,,,0,40.160511,0,N/A,1.267847455,2.04,0.2058
ABG,Asbury Automotive Group Inc,Consumer Cyclical,153.66,0,,,0,3563.133539,6.692587414,0,0.994861317,230.97,146.43
ABIO,ARCA biopharma Inc,Healthcare,2.34,0,,,0,33.719735,0,N/A,0.574111266,3.9,1.71
ABM,ABM Industries Inc.,Industrials,49.3,0.015821501,0.026315789,0.027820175,0.765041375,3296.64451,25.83577202,0.409113035,0.687967931,53.53,38.1
ABMD,Abiomed Inc.,Healthcare,306.08,0,,,0,13931.5985,104.7205155,0,1.387853846,379.3,261.27
ABR,Arbor Realty Trust Inc.,Real Estate,17.53,0.084426697,0.121212121,0.155010265,1.380157353,2677.949169,8.436823966,0.679880469,0.831966814,19.95,14.77
ABT,Abbott Laboratories,Healthcare,117.69,0.015974169,0.044444444,0.121425421,1.82969287,207544.228,29.35146769,0.463213385,0.689917896,141.53,103.78
ABTX,Allegiance Bancshares Inc,Financial Services,40.91,0.012166975,,,0.497750928,833.223461,10.21695659,0.124127413,0.684222272,46,33.98
AC,Associated Capital Group Inc,Financial Services,38.57,0.005178919,,,0.199750923,119.111758,0,N/A,0.738673856,47.5,32.24
ACA,Arcosa Inc,Industrials,54.44,0.004585246,,,0.249620768,2630.152098,0,N/A,1.074032265,65.53,43.38
ACAD,Acadia Pharmaceuticals Inc,Healthcare,23.47,0,,,0,3783.451966,N/A,0,1.060164824,28.06,15.68
ACBI,Atlantic Capital Bancshares Inc,Financial Services,32.34,0,,,0,0,0,0,,,
ACC,American Campus Communities Inc.,Real Estate,57.95,0.03244176,0,0.013278986,1.854883479,8064.143108,242.8666157,7.803464361,0.611305952,58.66,41.88
ACCO,Acco Brands Corporation,Industrials,7.68,0.036016902,,,0.276609808,743.726423,7.298591001,0.263437912,0.941690138,9.59,7.51
ACER,Acer Therapeutics Inc,Healthcare,2.3,0,,,0,32.913561,0,N/A,0.839009682,3.77,1.68
ACGL,Arch Capital Group Ltd,Financial Services,48.98,0,,,0,18565.48201,8.868557211,0,0.803790393,49.51,36.53
ACHC,Acadia Healthcare Company Inc,Healthcare,75.02,0,,,0,6795.196294,35.64506147,0,1.033337013,76.62,50.07
ACHN,Achison Inc,N/A,0.41,0,,,0,12.29795,0,N/A,,0.52,0.06
